city,city_type,state,city_size,mode,n,percent,moe,state_abb,state_region
Aberdeen city,City,South Dakota,Small,Bike,110,0.8,0.5,SD,North Central
Acworth city,City,Georgia,Small,Bike,0,0,0.4,GA,South
Addison village,Village,Illinois,Small,Bike,43,0.2,0.3,IL,North Central
Adelanto city,City,California,Small,Bike,0,0,0.5,CA,West
Adrian city,City,Michigan,Small,Bike,121,1.5,1,MI,North Central
Agawam Town city,City,Massachusetts,Small,Bike,0,0,0.2,MA,Northeast
Agoura Hills city,City,California,Small,Bike,84,0.8,1.1,CA,West
Aiken city,City,South Carolina,Small,Bike,23,0.2,0.3,SC,South
Alabaster city,City,Alabama,Small,Bike,0,0,0.2,AL,South
Alameda city,City,California,Small,Bike,576,1.5,0.4,CA,West
Alamogordo city,City,New Mexico,Small,Bike,35,0.3,0.2,NM,West
Albany city,City,Georgia,Small,Bike,77,0.3,0.2,GA,South
Albany city,City,New York,Small,Bike,419,0.9,0.3,NY,Northeast
Albany city,City,Oregon,Small,Bike,281,1.3,0.6,OR,West
Albertville city,City,Alabama,Small,Bike,2,0,0.1,AL,South
Alexandria city,City,Louisiana,Small,Bike,100,0.5,0.3,LA,South
Algonquin village,Village,Illinois,Small,Bike,109,0.7,0.6,IL,North Central
Alhambra city,City,California,Small,Bike,198,0.5,0.2,CA,West
Aliso Viejo city,City,California,Small,Bike,85,0.3,0.2,CA,West
Allen city,City,Texas,Small,Bike,21,0,0.1,TX,South
Allen Park city,City,Michigan,Small,Bike,55,0.5,0.4,MI,North Central
Alliance city,City,Ohio,Small,Bike,19,0.2,0.2,OH,North Central
Alpharetta city,City,Georgia,Small,Bike,0,0,0.1,GA,South
Altamonte Springs city,City,Florida,Small,Bike,282,1.3,0.7,FL,South
Alton city,City,Illinois,Small,Bike,10,0.1,0.1,IL,North Central
Altoona city,City,Pennsylvania,Small,Bike,33,0.2,0.2,PA,Northeast
Alvin city,City,Texas,Small,Bike,127,1.2,0.7,TX,South
American Fork city,City,Utah,Small,Bike,32,0.3,0.3,UT,West
Ames city,City,Iowa,Small,Bike,808,2.5,0.6,IA,North Central
Anderson city,City,Indiana,Small,Bike,96,0.4,0.2,IN,North Central
Anderson city,City,South Carolina,Small,Bike,10,0.1,0.2,SC,South
Andover city,City,Minnesota,Small,Bike,22,0.1,0.2,MN,North Central
Ankeny city,City,Iowa,Small,Bike,52,0.2,0.2,IA,North Central
Annapolis city,City,Maryland,Small,Bike,41,0.2,0.2,MD,South
Anniston city,City,Alabama,Small,Bike,12,0.1,0.2,AL,South
Apache Junction city,City,Arizona,Small,Bike,71,0.6,0.6,AZ,West
Apex town,Town,North Carolina,Small,Bike,0,0,0.2,NC,South
Apopka city,City,Florida,Small,Bike,79,0.4,0.4,FL,South
Apple Valley city,City,Minnesota,Small,Bike,79,0.3,0.2,MN,North Central
Apple Valley town,Town,California,Small,Bike,21,0.1,0.1,CA,West
Appleton city,City,Wisconsin,Small,Bike,399,1.1,0.4,WI,North Central
Arcadia city,City,California,Small,Bike,90,0.4,0.2,CA,West
Ardmore city,City,Oklahoma,Small,Bike,19,0.2,0.3,OK,South
Arlington Heights village,Village,Illinois,Small,Bike,154,0.4,0.2,IL,North Central
Arnold city,City,Missouri,Small,Bike,0,0,0.3,MO,North Central
Arvin city,City,California,Small,Bike,0,0,0.6,CA,West
Asheboro city,City,North Carolina,Small,Bike,10,0.1,0.2,NC,South
Asheville city,City,North Carolina,Small,Bike,428,1.1,0.3,NC,South
Ashland city,City,Kentucky,Small,Bike,0,0,0.4,KY,South
Ashland city,City,Ohio,Small,Bike,49,0.6,0.4,OH,North Central
Ashland city,City,Oregon,Small,Bike,560,6.2,1.9,OR,West
Atascadero city,City,California,Small,Bike,58,0.4,0.4,CA,West
Athens city,City,Alabama,Small,Bike,0,0,0.4,AL,South
Athens city,City,Ohio,Small,Bike,208,2.2,0.9,OH,North Central
Atlantic City city,City,New Jersey,Small,Bike,166,1.1,0.6,NJ,Northeast
Attleboro city,City,Massachusetts,Small,Bike,39,0.2,0.2,MA,Northeast
Atwater city,City,California,Small,Bike,18,0.2,0.2,CA,West
Auburn city,City,Alabama,Small,Bike,475,2,0.5,AL,South
Auburn city,City,Maine,Small,Bike,57,0.5,0.5,ME,Northeast
Auburn city,City,New York,Small,Bike,54,0.4,0.4,NY,Northeast
Auburn city,City,Washington,Small,Bike,97,0.3,0.2,WA,West
Auburn Hills city,City,Michigan,Small,Bike,43,0.4,0.4,MI,North Central
Austin city,City,Minnesota,Small,Bike,100,0.9,0.7,MN,North Central
Aventura city,City,Florida,Small,Bike,0,0,0.3,FL,South
Avon city,City,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
Avon Lake city,City,Ohio,Small,Bike,78,0.7,0.7,OH,North Central
Avondale city,City,Arizona,Small,Bike,42,0.1,0.1,AZ,West
Azusa city,City,California,Small,Bike,154,0.7,0.4,CA,West
Bainbridge Island city,City,Washington,Small,Bike,194,1.9,0.9,WA,West
Balch Springs city,City,Texas,Small,Bike,0,0,0.4,TX,South
Baldwin Park city,City,California,Small,Bike,294,1,0.5,CA,West
Ballwin city,City,Missouri,Small,Bike,0,0,0.2,MO,North Central
Bangor city,City,Maine,Small,Bike,50,0.3,0.3,ME,Northeast
Banning city,City,California,Small,Bike,47,0.5,0.5,CA,West
Barberton city,City,Ohio,Small,Bike,8,0.1,0.1,OH,North Central
Barnstable Town city,City,Massachusetts,Small,Bike,49,0.2,0.2,MA,Northeast
Barstow city,City,California,Small,Bike,29,0.3,0.5,CA,West
Bartlesville city,City,Oklahoma,Small,Bike,115,0.7,0.5,OK,South
Bartlett city,City,Tennessee,Small,Bike,36,0.1,0.2,TN,South
Bartlett village,Village,Illinois,Small,Bike,28,0.1,0.1,IL,North Central
Batavia city,City,Illinois,Small,Bike,47,0.4,0.4,IL,North Central
Battle Creek city,City,Michigan,Small,Bike,61,0.3,0.2,MI,North Central
Bay City city,City,Michigan,Small,Bike,158,1.1,0.6,MI,North Central
Bayonne city,City,New Jersey,Small,Bike,71,0.2,0.2,NJ,Northeast
Baytown city,City,Texas,Small,Bike,83,0.3,0.3,TX,South
Beaumont city,City,California,Small,Bike,36,0.2,0.2,CA,West
Beavercreek city,City,Ohio,Small,Bike,116,0.5,0.3,OH,North Central
Beaverton city,City,Oregon,Small,Bike,564,1.3,0.4,OR,West
Bedford city,City,Texas,Small,Bike,54,0.2,0.1,TX,South
Bell city,City,California,Small,Bike,234,1.8,0.9,CA,West
Bell Gardens city,City,California,Small,Bike,173,1.1,0.5,CA,West
Bella Vista town,Town,Arkansas,Small,Bike,0,0,0.3,AR,South
Belleville city,City,Illinois,Small,Bike,100,0.5,0.3,IL,North Central
